day,material,inventory_t,shipment_t_per_d,external_source_t_per_d
7,甲苯,0.0,0.0,0.0
7,甲醇原料,839.5,0.0,12.248392
7,石油苯,1551.0,0.0,87.921206
7,石脑油,0.0,29.743053,0.0
7,石脑油Ⅲ,0.0,0.0,0.0
7,粗酯,0.0,2.523757,0.0
7,精制液化气,0.0,0.0,0.0
7,聚丙烯,0.0,184.322811,0.0
7,脱氢尾气,0.0,0.0,0.0
7,脱氢液,1402.31,0.0,0.0
7,航煤原料,8143.2,176.708,0.0
7,航煤组分油,0.0,1323.321347,0.0
7,苯,0.0,0.0,0.0
7,苯乙烯,5488.2,0.0,0.0
7,酯后碳四,0.0,97.633708,0.0
7,酸性气,0.0,91.938932,0.0
7,酸性水,0.0,0.0,0.0
7,醋酸仲丁酯,824.0,67.269348,0.0
7,醋酸原料,583.0,0.0,37.407095
7,醚后C4,0.0,0.0,0.0
7,高沸物,0.0,1.213283,0.0
